Basic ELO	k0	lambda	accuracy	precision	recall	f1	roc_auc
800	16	1.6	0.5936	0.6018	0.7007	0.6464	0.6273
800	16	1.8	0.5927	0.6003	0.7023	0.6463	0.6252
800	18	0.2	0.6298	0.6427	0.693	0.6647	0.6833
800	18	0.4	0.631	0.6436	0.6949	0.6657	0.6818
800	18	0.6	0.6229	0.6348	0.6895	0.6591	0.6742
800	18	0.8	0.6133	0.6249	0.6866	0.6529	0.6612
800	18	1.0	0.6048	0.615	0.6892	0.6488	0.6447
800	18	1.2	0.5971	0.6072	0.6911	0.645	0.6319
800	18	1.4	0.5937	0.602	0.698	0.6456	0.6263
800	18	1.6	0.5899	0.599	0.6972	0.6435	0.6251
800	18	1.8	0.594	0.6036	0.693	0.644	0.6279
900	2	0.2	0.6155	0.6236	0.7034	0.6592	0.661
900	2	0.4	0.6201	0.6299	0.6999	0.66	0.6673
900	2	0.6	0.6253	0.6364	0.6941	0.6619	0.6759
900	2	0.8	0.6294	0.6413	0.6965	0.6651	0.6823
900	2	1.0	0.6274	0.6388	0.6973	0.6645	0.6848
900	2	1.2	0.625	0.6375	0.6903	0.6609	0.6823
900	2	1.4	0.6223	0.633	0.6949	0.6607	0.673
900	2	1.6	0.6116	0.6223	0.6895	0.6527	0.6569
900	2	1.8	0.6023	0.6122	0.6927	0.6485	0.6396
900	4	0.2	0.623	0.6329	0.6973	0.6616	0.6701
900	4	0.4	0.6286	0.6397	0.6975	0.6651	0.6778
900	4	0.6	0.6317	0.6443	0.6949	0.6659	0.6838
900	4	0.8	0.6301	0.643	0.6933	0.6648	0.6855
900	4	1.0	0.6242	0.637	0.6892	0.6603	0.6819
900	4	1.2	0.6196	0.6309	0.6919	0.6579	0.6715
900	4	1.4	0.6089	0.6197	0.6887	0.6512	0.6554
900	4	1.6	0.6016	0.6116	0.6919	0.648	0.6382
900	4	1.8	0.5971	0.6057	0.6988	0.6478	0.628
900	6	0.2	0.6252	0.6363	0.6957	0.6625	0.6758
900	6	0.4	0.6298	0.6422	0.6941	0.6649	0.6825
900	6	0.6	0.6331	0.6453	0.6986	0.6684	0.6855
900	6	0.8	0.6284	0.641	0.6927	0.6637	0.6838
900	6	1.0	0.6229	0.6348	0.6916	0.6603	0.6753
900	6	1.2	0.6135	0.6246	0.6895	0.6542	0.6608
900	6	1.4	0.6038	0.614	0.6898	0.6485	0.6435
900	6	1.6	0.5971	0.6053	0.6999	0.6481	0.6305
900	6	1.8	0.5947	0.6032	0.6999	0.6466	0.6257
900	8	0.2	0.6298	0.6408	0.6973	0.6658	0.6792
900	8	0.4	0.6312	0.6436	0.6954	0.6662	0.6842
900	8	0.6	0.6322	0.6448	0.6951	0.6667	0.6853
900	8	0.8	0.6256	0.6378	0.6917	0.6617	0.6801
900	8	1.0	0.6178	0.6303	0.6866	0.6557	0.6688
900	8	1.2	0.6084	0.6194	0.689	0.6509	0.6523
900	8	1.4	0.6002	0.6098	0.6922	0.6473	0.6368
900	8	1.6	0.595	0.603	0.7004	0.6473	0.6268
900	8	1.8	0.5917	0.5999	0.7012	0.6456	0.6226
900	10	0.2	0.6312	0.6437	0.6951	0.6663	0.6814
900	10	0.4	0.6317	0.6449	0.6938	0.666	0.6849
900	10	0.6	0.6314	0.644	0.6941	0.6657	0.6841
900	10	0.8	0.6242	0.6365	0.6906	0.6606	0.6761
900	10	1.0	0.6124	0.6244	0.6847	0.6518	0.6627
900	10	1.2	0.6055	0.6157	0.6903	0.6498	0.6457
900	10	1.4	0.594	0.604	0.6903	0.6431	0.6332
900	10	1.6	0.5912	0.5995	0.6978	0.6442	0.6272
900	10	1.8	0.5954	0.6032	0.7026	0.6481	0.6289
900	12	0.2	0.6307	0.644	0.6922	0.6649	0.6826
900	12	0.4	0.6328	0.6464	0.6933	0.6666	0.685
900	12	0.6	0.6274	0.6399	0.6919	0.6627	0.6818
900	12	0.8	0.6208	0.6327	0.6903	0.6587	0.6723
