hidden_layer_sizes	activation	solver	alpha	learning_rate	learning_rate_init	early_stopping	accuracy
512x1	tanh	adam	1e-05	adaptive	0.01	True	0.95396
512x1	tanh	lbfgs	1e-05	adaptive	0.01	True	0.97711
512x1	tanh	sgd	1e-05	adaptive	0.001	True	0.91279
512x1	tanh	adam	1e-05	adaptive	0.001	True	0.9472
512x1	tanh	lbfgs	1e-05	adaptive	0.001	True	0.97024
512x1	tanh	sgd	1e-05	adaptive	0.0001	True	0.7842
512x1	tanh	adam	1e-05	adaptive	0.0001	True	0.90159
512x1	tanh	lbfgs	1e-05	adaptive	0.0001	True	0.97939
512x1	tanh	sgd	1e-05	invscaling	0.1	True	0.94952
512x1	tanh	adam	1e-05	invscaling	0.1	True	0.96332
512x1	tanh	lbfgs	1e-05	invscaling	0.1	True	0.97706
512x1	tanh	sgd	1e-05	invscaling	0.01	True	0.89937
512x1	tanh	adam	1e-05	invscaling	0.01	True	0.95174
512x1	tanh	lbfgs	1e-05	invscaling	0.01	True	0.97711
512x1	tanh	sgd	1e-05	invscaling	0.001	True	0.64012
512x1	tanh	adam	1e-05	invscaling	0.001	True	0.9379
512x1	tanh	lbfgs	1e-05	invscaling	0.001	True	0.97484
512x1	tanh	sgd	1e-05	invscaling	0.0001	True	0.41025
512x1	tanh	adam	1e-05	invscaling	0.0001	True	0.91031
512x1	tanh	lbfgs	1e-05	invscaling	0.0001	True	0.97257
512x2	tanh	sgd	1e-05	adaptive	0.1	True	0.95862
512x2	tanh	adam	1e-05	adaptive	0.1	True	0.90375
512x2	tanh	lbfgs	1e-05	adaptive	0.1	True	0.97939
512x2	tanh	sgd	1e-05	adaptive	0.01	True	0.94958
512x2	tanh	adam	1e-05	adaptive	0.01	True	0.9611
512x2	tanh	lbfgs	1e-05	adaptive	0.01	True	0.97484
512x2	tanh	sgd	1e-05	adaptive	0.001	True	0.88552
512x2	tanh	adam	1e-05	adaptive	0.001	True	0.95867
512x2	tanh	lbfgs	1e-05	adaptive	0.001	True	0.97484
512x2	tanh	sgd	1e-05	adaptive	0.0001	True	0.87849
512x2	tanh	adam	1e-05	adaptive	0.0001	True	0.92405
512x2	tanh	lbfgs	1e-05	adaptive	0.0001	True	0.97711
512x2	tanh	sgd	1e-05	invscaling	0.1	True	0.94493
512x2	tanh	adam	1e-05	invscaling	0.1	True	0.9222
512x2	tanh	lbfgs	1e-05	invscaling	0.1	True	0.97711
512x2	tanh	sgd	1e-05	invscaling	0.01	True	0.91993
512x2	tanh	adam	1e-05	invscaling	0.01	True	0.95185
512x2	tanh	lbfgs	1e-05	invscaling	0.01	True	0.97711
512x2	tanh	sgd	1e-05	invscaling	0.001	True	0.70449
512x2	tanh	adam	1e-05	invscaling	0.001	True	0.96327
512x2	tanh	lbfgs	1e-05	invscaling	0.001	True	0.97711
512x2	tanh	sgd	1e-05	invscaling	0.0001	True	0.48837
512x2	tanh	adam	1e-05	invscaling	0.0001	True	0.96786
512x2	tanh	lbfgs	1e-05	invscaling	0.0001	True	0.97257
512x3	tanh	sgd	1e-05	adaptive	0.1	True	0.96575
512x3	tanh	adam	1e-05	adaptive	0.1	True	0.87595
512x3	tanh	lbfgs	1e-05	adaptive	0.1	True	0.97484
