n_estimators	max_features	max_depth	min_samples_split	min_samples_leaf	bagging	accuracy
9	10	10	3	1	True	0.96564
10	10	10	3	1	True	0.95645
20	10	10	3	1	True	0.94968
30	10	10	3	1	True	0.96786
40	10	10	3	1	True	0.96781
50	10	10	3	1	True	0.96786
100	10	10	3	1	True	0.97014
1	10	10	4	1	True	0.88076
2	10	10	4	1	True	0.88087
3	10	10	4	1	True	0.91993
4	10	10	4	1	True	0.93811
5	10	10	4	1	True	0.95867
6	10	10	4	1	True	0.96099
7	10	10	4	1	True	0.9565
8	10	10	4	1	True	0.95402
9	10	10	4	1	True	0.95407
10	10	10	4	1	True	0.95185
20	10	10	4	1	True	0.96327
30	10	10	4	1	True	0.96786
40	10	10	4	1	True	0.96549
50	10	10	4	1	True	0.97241
100	10	10	4	1	True	0.97241
1	10	10	2	2	True	0.88541
2	10	10	2	2	True	0.86464
3	10	10	2	2	True	0.91517
4	10	10	2	2	True	0.92204
5	10	10	2	2	True	0.95877
6	10	10	2	2	True	0.95851
7	10	10	2	2	True	0.96094
8	10	10	2	2	True	0.95645
9	10	10	2	2	True	0.96105
10	10	10	2	2	True	0.94963
20	10	10	2	2	True	0.96089
30	10	10	2	2	True	0.96337
40	10	10	2	2	True	0.96332
50	10	10	2	2	True	0.95862
100	10	10	2	2	True	0.96559
1	10	10	3	2	True	0.86702
2	10	10	3	2	True	0.89207
3	10	10	3	2	True	0.93134
4	10	10	3	2	True	0.92685
5	10	10	3	2	True	0.93097
6	10	10	3	2	True	0.94942
7	10	10	3	2	True	0.94947
8	10	10	3	2	True	0.9472
9	10	10	3	2	True	0.95645
10	10	10	3	2	True	0.96797
20	10	10	3	2	True	0.96559
30	10	10	3	2	True	0.96797
40	10	10	3	2	True	0.96321
50	10	10	3	2	True	0.96792
100	10	10	3	2	True	0.95862
1	10	10	4	2	True	0.87865
2	10	10	4	2	True	0.88303
3	10	10	4	2	True	0.90793
4	10	10	4	2	True	0.93124
5	10	10	4	2	True	0.93145
6	10	10	4	2	True	0.9518
7	10	10	4	2	True	0.93821
8	10	10	4	2	True	0.94937
9	10	10	4	2	True	0.96559
10	10	10	4	2	True	0.9564
20	10	10	4	2	True	0.96797
30	10	10	4	2	True	0.96564
