GAME_ID	MATCHUP	OUTCOME	TEAM_ID_home	TEAM_ABBREVIATION_home	FG_PCT_home	FG3_PCT_home	FT_PCT_home	REB_home	OREB_home	DREB_home	AST_home	STL_home	BLK_home	OFF_RATING_home	DEF_RATING_home	TS_PCT_home	TOV_home	ELO_home	TEAM_ID_away	TEAM_ABBREVIATION_away	FG_PCT_away	FG3_PCT_away	FT_PCT_away	REB_away	OREB_away	DREB_away	AST_away	STL_away	BLK_away	OFF_RATING_away	DEF_RATING_away	TS_PCT_away	TOV_away	ELO_away
22200729	LAL vs. SAS	1	1610612747	LAL	0.444	0.303	0.767	56	11	45	25	12	9	104.6	96.3	0.547	19	1408.0	1610612759	SAS	0.377	0.235	0.889	48	17	31	22	11	2	96.3	104.6	0.456	14	1249.0
22200404	MEM vs. ATL	1	1610612763	MEM	0.602	0.406	0.833	49	5	44	36	8	12	123.1	100.0	0.704	22	1556.0	1610612737	ATL	0.356	0.324	0.773	39	20	19	20	13	1	100.0	123.1	0.453	15	1453.0
22201018	SAS vs. OKC	0	1610612759	SAS	0.375	0.278	0.737	50	10	40	24	3	7	89.1	100.0	0.467	18	1184.0	1610612760	OKC	0.379	0.256	0.87	55	12	43	26	8	3	100.0	89.1	0.485	9	1442.0
22200591	SAS vs. BOS	0	1610612759	SAS	0.49	0.28	0.786	51	12	39	25	6	3	110.5	116.3	0.546	13	1288.0	1610612738	BOS	0.495	0.441	0.667	43	8	35	30	6	10	116.3	110.5	0.588	14	1597.0
22200518	MIA vs. LAL	1	1610612748	MIA	0.478	0.314	0.813	37	10	27	20	14	4	117.9	105.4	0.565	5	1451.0	1610612747	LAL	0.481	0.361	0.733	44	8	36	25	2	4	105.4	117.9	0.586	24	1397.0
22200305	DEN vs. HOU	1	1610612743	DEN	0.568	0.4	0.85	43	13	30	31	8	4	133.0	116.5	0.666	14	1508.0	1610612745	HOU	0.459	0.364	0.76	37	12	25	25	4	2	116.5	133.0	0.589	17	1259.0
22200302	BKN vs. ORL	1	1610612751	BKN	0.543	0.321	0.857	42	8	34	20	7	8	114.7	107.4	0.625	16	1463.0	1610612753	ORL	0.475	0.419	0.591	35	9	26	18	9	5	107.4	114.7	0.569	18	1250.0
22200162	ATL vs. UTA	0	1610612737	ATL	0.468	0.286	0.818	54	17	37	24	5	5	114.4	119.0	0.523	11	1512.0	1610612762	UTA	0.468	0.436	0.833	47	13	34	27	5	6	119.0	114.4	0.598	13	1555.0
22201105	SAC vs. PHX	1	1610612758	SAC	0.528	0.333	0.875	33	5	28	29	6	3	139.2	128.3	0.655	4	1495.0	1610612756	PHX	0.539	0.31	0.759	43	12	31	33	2	7	128.3	139.2	0.624	12	1487.0
22200853	GSW vs. LAL	0	1610612744	GSW	0.417	0.273	0.917	43	7	36	31	11	6	97.2	102.8	0.508	15	1491.0	1610612747	LAL	0.449	0.32	0.808	52	10	42	19	4	4	102.8	97.2	0.543	15	1396.0
22200960	MIL vs. PHI	0	1610612749	MIL	0.53	0.5	0.893	43	11	32	30	3	3	135.4	138.5	0.682	13	1627.0	1610612755	PHI	0.5	0.486	0.838	32	9	23	24	5	1	138.5	135.4	0.663	5	1561.0
22200008	TOR vs. CLE	1	1610612761	TOR	0.419	0.433	0.719	41	12	29	19	15	4	109.1	106.1	0.54	13	1523.0	1610612739	CLE	0.494	0.357	0.826	38	6	32	25	5	5	106.1	109.1	0.603	17	1427.0
22200382	PHI vs. LAL	1	1610612755	PHI	0.533	0.45	0.864	42	7	35	30	14	2	116.7	108.0	0.667	21	1502.0	1610612747	LAL	0.5	0.355	0.767	37	7	30	29	12	4	108.0	116.7	0.603	19	1391.0
22201099	TOR vs. DET	1	1610612761	TOR	0.446	0.351	0.793	46	15	31	25	12	9	121.6	102.1	0.563	11	1467.0	1610612765	DET	0.466	0.24	0.767	39	8	31	23	8	4	102.1	121.6	0.563	22	1180.0
22201204	WAS vs. MIA	1	1610612764	WAS	0.464	0.212	0.784	50	12	38	23	4	3	108.6	103.8	0.568	16	1360.0	1610612748	MIA	0.439	0.319	0.583	47	14	33	26	7	4	103.8	108.6	0.523	16	1480.0
