Game_ID	GAME_DATE	Team_ID_x	WL_x	PTS_x	MATCHUP	Team_ID_y	WL_y	PTS_y	ELO_x	ELO_y
21900177	2019-11-16	1610612752	L	102	NYK vs. CHA	1610612766	W	103	1106.0	1286.0
21900178	2019-11-16	1610612740	L	94	NOP @ MIA	1610612748	W	109	1244.0	1412.0
21900179	2019-11-16	1610612745	W	125	HOU @ MIN	1610612750	L	105	1516.0	1318.0
21900180	2019-11-16	1610612742	W	110	DAL vs. TOR	1610612761	L	102	1313.0	1504.0
21900181	2019-11-16	1610612757	W	121	POR @ SAS	1610612759	L	116	1420.0	1367.0
21900182	2019-11-16	1610612737	L	101	ATL @ LAC	1610612746	W	150	1240.0	1419.0
21900183	2019-11-17	1610612739	L	95	CLE vs. PHI	1610612755	W	114	1194.0	1407.0
21900184	2019-11-17	1610612738	L	99	BOS @ SAC	1610612758	W	100	1495.0	1297.0
21900185	2019-11-17	1610612753	W	125	ORL vs. WAS	1610612764	L	121	1385.0	1267.0
21900186	2019-11-17	1610612743	W	131	DEN @ MEM	1610612763	L	114	1445.0	1256.0
21900187	2019-11-17	1610612740	W	108	NOP vs. GSW	1610612744	L	100	1238.0	1327.0
21900188	2019-11-17	1610612737	L	101	ATL @ LAL	1610612747	W	122	1229.0	1410.0
21900189	2019-11-18	1610612739	L	105	CLE @ NYK	1610612752	W	123	1182.0	1103.0
21900190	2019-11-18	1610612751	L	86	BKN vs. IND	1610612754	W	115	1341.0	1382.0
21900191	2019-11-18	1610612761	W	132	TOR vs. CHA	1610612766	L	96	1490.0	1289.0
21900192	2019-11-18	1610612741	L	101	CHI vs. MIL	1610612749	W	115	1188.0	1564.0
21900193	2019-11-18	1610612745	W	132	HOU vs. POR	1610612757	L	108	1529.0	1430.0
21900194	2019-11-18	1610612742	W	117	DAL vs. SAS	1610612759	L	110	1327.0	1357.0
21900195	2019-11-18	1610612738	W	99	BOS @ PHX	1610612756	L	85	1489.0	1269.0
21900196	2019-11-18	1610612750	W	112	MIN @ UTA	1610612762	L	102	1305.0	1479.0
21900197	2019-11-18	1610612746	W	90	LAC vs. OKC	1610612760	L	88	1430.0	1393.0
21900198	2019-11-19	1610612744	W	114	GSW @ MEM	1610612763	L	95	1316.0	1244.0
21900199	2019-11-19	1610612740	W	115	NOP vs. POR	1610612757	L	104	1249.0	1419.0
21900200	2019-11-19	1610612756	L	116	PHX @ SAC	1610612758	W	120	1259.0	1303.0
21900201	2019-11-19	1610612747	W	112	LAL vs. OKC	1610612760	L	107	1417.0	1389.0
21900202	2019-11-20	1610612752	L	104	NYK @ PHI	1610612755	W	109	1120.0	1419.0
21900203	2019-11-20	1610612759	L	132	SAS @ WAS	1610612764	W	138	1348.0	1263.0
21900204	2019-11-20	1610612737	L	127	ATL vs. MIL	1610612749	W	135	1222.0	1569.0
21900205	2019-11-20	1610612751	W	101	BKN vs. CHA	1610612766	L	91	1315.0	1281.0
21900206	2019-11-20	1610612739	L	100	CLE @ MIA	1610612748	W	124	1165.0	1418.0
21900207	2019-11-20	1610612753	L	97	ORL @ TOR	1610612761	W	113	1389.0	1498.0
21900208	2019-11-20	1610612742	W	142	DAL vs. GSW	1610612744	L	94	1336.0	1335.0
21900209	2019-11-20	1610612741	W	109	CHI vs. DET	1610612765	L	89	1183.0	1283.0
21900210	2019-11-20	1610612750	L	95	MIN vs. UTA	1610612762	W	103	1326.0	1458.0
21900211	2019-11-20	1610612743	W	105	DEN vs. HOU	1610612745	L	95	1457.0	1540.0
21900212	2019-11-20	1610612738	L	104	BOS @ LAC	1610612746	W	107	1499.0	1434.0
21900213	2019-11-21	1610612749	W	137	MIL vs. POR	1610612757	L	129	1573.0	1403.0
21900214	2019-11-21	1610612740	W	124	NOP @ PHX	1610612756	L	121	1265.0	1254.0
21900215	2019-11-22	1610612737	L	103	ATL @ DET	1610612765	W	128	1218.0	1264.0
21900216	2019-11-22	1610612764	W	125	WAS vs. CHA	1610612766	L	118	1273.0	1273.0
21900217	2019-11-22	1610612751	W	116	BKN vs. SAC	1610612758	L	97	1323.0	1308.0
21900218	2019-11-22	1610612755	W	115	PHI vs. SAS	1610612759	L	104	1421.0	1338.0
21900219	2019-11-22	1610612741	L	108	CHI vs. MIA	1610612748	W	116	1202.0	1423.0
